Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Genres,Score
10613,Bavi Stock II: The Revenge of Eyesman - Ai no Kodou no Kanata ni,,OVA  ,1,Studio Unicorn,,"Action, Adventure, Sci Fi, Forest, Jungle, Psychic Powers, Superpowers, Original Work, Violence",3.19
10614,Mayuge Dance,,Music,,,,"Family Friendly, Minna no Uta",3.19
10615,Gohan Kaijuu Pap,,Web  ,29,DLE,,"Comedy, Anthropomorphic, Food and Beverage, Food Protagonists, Monsters, Non-Human Protagonists, Short Episodes",3.19
10616,Slow Start: Web Yokoku Movie,,Web  ,11,A-1 Pictures,,"Slice of Life, Chibi, Short Episodes, Based on a Manga",3.19
10617,Upotte!!,,Web  ,10,XEBEC,Spring,"Action, Comedy, Ecchi, Shounen, Anthropomorphic, Guns, School Life, Based on a Manga",3.19
10618,Princess Principal: Ange Report,,TV Sp,,Actas,,"Action, Drama, Espionage, Europe, Political, Recap, Original Work",3.19
10619,Gunslinger Stratos: The Animation - Kikan/Kaze no Yukue, Gunslinger Stratos: The Animation - Return/The Direction of the Wind,Web  ,1,A-1 Pictures,Spring,"Action, Sci Fi, Guns, Based on a Video Game",3.19
10620,Aldnoah.Zero: Extra Archives,,TV Sp,,A-1 Pictures,,"Mecha, Sci Fi, Military, Political, Real Robot, Recap, Original Work",3.19
10621,Furimukeba Kaeru, Minna no Uta: Furimukeba Kaeru,Music,,,,Minna no Uta,3.19
10622,My Graduation ~Mirai~,"Alt titles: Mie Yamamoto: My Graduation ~Mirai~, Minna no Uta: My Graduation ~Mirai~",Music,,,,Minna no Uta,3.19
10623,Robot Girls NEO,,Web  ,3,Toei Animation,Summer,"Sci Fi, Short Episodes",3.19
10624,Legend of Lemnear Pilot, Legend of Lemnear: Kyokuguro no Tsubasa Valkisas Pilot,Other,,,,"Action, Adventure, Fantasy, Original Work, Nudity",3.19
10625,53rd Golden Horse Awards Opening Animation,,Other,,MangoWork Studio,,"Chinese Animation, Opening Animation, Promotional",3.19
10626,Special 7: Special Crime Investigation Unit - Seiji Nanatsuki's Running Report, Keishichou Tokumu-bu Tokushu Kyouakuhan Taisaku-shitsu Dai Nanaka: Tokunana - Nanatsuki Seiji no Kakenukeru Katsudou Houkokusho,TV Sp,,Anima&Co.,,"Action, Police, Recap, Original Work",3.19
10627,Reincarnated Into Demon King Evelogia's World,"Alt titles: Everything for Demon King Evelogia, Maou Evelogia ni Mi wo Sasage yo",TV   ,,Studio Houkiboshi,Fall ,"BL, Fantasy, Romance, Yaoi, Assassins, Demon King, Demons, Interspecies Relationship, Isekai, Non-Human Protagonists, Person in a Strange World, Short Episodes, Trapped in a Video Game, Based on a Manga",3.19
10628,Kizuna (Tekken),,Web  ,1,,,"Romance, Shorts",3.19
10629,"Genesis Climber Mospeada: Love, Live, Alive",,OVA  ,1,ARTMIC Studios,,"Sci Fi, No Dialogue",3.19
10630,Space Battleship Tiramisu Zwei, Uchuu Senkan Tiramisu Zwei,TV   ,13,GONZO,Fall ,"Action, Comedy, Mecha, Sci Fi, Parody, Real Robot, Short Episodes, Transforming Mecha, Based on a Manga",3.19
10631,Warlords of Sigrdrifa, Senyoku no Sigrdrifa,TV   ,12,A-1 Pictures,Fall ,"Action, Fantasy, Aviation, Contemporary Fantasy, Military, Norse Mythology, Original Work",3.19
10632,Mirai no Watashi,,Web  ,2,Studio Colorido,,"Coworkers, Promotional, Restaurants, Short Episodes, Shorts, Work Life",3.19
10633,Kanamewo, Kanamewo: A Linchpin,Web  ,1,Fall 2015,,"Drama, Fantasy, GL, Shoujo-ai, Environmental, No Dialogue, Shorts, Original Work, Nudity,, Sexual Content",3.19
10634,Neo Yokio: Pink Christmas,,Web  ,1,Fall 2018,,"Comedy, Sci Fi, America, Christmas, Demons, Parody, Satire, Supernatural, Original Work, Drug Use,, Mature Themes,, Suicide",3.19
10635,Pokemon: Pikachu's Summer Festival, Pokemon: Pikachu no Natsumatsuri,Other,,OLM,,"Fantasy, Shounen, Animal Protagonists, Family Friendly, Monsters, Non-Human Protagonists, Based on a Video Game",3.19
10636,Anime KAPIBARASAN,,TV   ,24,Lesprit,Fall ,"Comedy, Slice of Life, Animal Protagonists, Family Friendly, Iyashikei, Non-Human Protagonists, Short Episodes",3.19
10637,iMarine Project: Marine Bloomin' MMD,,Music,,,,CG Animation,3.19
10638,Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!,,OVA  ,1,Studio DEEN,,"Comedy, Mystery, Historical, Music, Rock Music, Based on a Video Game",3.19
10639,Tomato confit,,Movie,,,,"Comedy, Shorts",3.19
10640,JITTERIN'JINN: Koi Nobori,,Music,,,,"Action, Drama",3.19
10641,Kyoei Tankou-sho,,Web  ,1,,,"Action, Mecha, Sci Fi, Commercials, Promotional",3.19
10642,Starship Girl Yamamoto Yohko I, Soreyuke! Uchuu Senkan Yamamoto Yohko I,OVA  ,3,J.C.Staff,,"Comedy, Sci Fi, Outer Space, Based on a Light Novel",3.19
10643,Tegami: Haikei Juugo no Kimi e, Minna no Uta: Tegami ~Haikei Juugo no Kimi e~,Music,,,,Minna no Uta,3.19
10644,Wish Upon the Pleiades, Houkago no Pleiades,TV   ,12,GAINAX,Spring,"Fantasy, Magical Girl, Henshin Heroes, Magic, Promotional, Original Work",3.19
10645,Yuuyake Dandan: Manner Movies,,Other,,Dynamo Pictures,,"Animal Protagonists, Cats, Commercials, Non-Human Protagonists, Promotional, Short Episodes, CG Animation",3.19
10646,Dragon Ball Z: The Real 4-D,,Other,,,,"Action, Non-Human Protagonists, CG Animation",3.19
10647,The Tatami Galaxy Specials, Yojouhan Shinwa Taikei Specials,DVD S,,MADHOUSE,,"Comedy, School Life, Based on a Novel",3.19
10648,Close the Last Door!, Saigo no Door wo Shimero!,OVA  ,1,Phoenix Entertainment,,"BL, Romance, Shounen-ai, Adult Couples, Based on a Manga",3.19
10649,Cyborg 009: Kaijuu Sensou, Cyborg 009 and the Monster Wars,Movie,,Toei Animation,,"Action, Sci Fi, Shounen, Cyborgs, Robots, Based on a Manga",3.19
10650,Pinocchio-P: Zero,,Music,,,,"Outer Space, Vocaloid",3.19
10651,Oniichan ni Natchatta, Minna no Uta: Oniichan ni Natchatta,Music,,,,"Family Life, Minna no Uta, Siblings",3.19
10652,Chiisana Kinomi (1995), Minna no Uta: Chiisana Kinomi (1995),Music,,,,Minna no Uta,3.19
10653,Boku no Me wa Neko no Me, Minna no Uta: Boku no Me wa Neko no Me,Music,,,,Minna no Uta,3.19
10654,Magikano,,TV   ,13,Tokyo Kids,Winter,"Comedy, Ecchi, Fantasy, Harem, Romance, Seinen, Magic, Panty Shots, Based on a Manga",3.19
10655,Candy Candy Movie,,Movie,,Toei Animation,,"Drama, Romance, America, Based on a Novel",3.19
10656,Aiura,,TV   ,12,LIDEN FILMS,Spring,"Comedy, Shounen, Slice of Life, Iyashikei, School Life, Short Episodes, Based on a Manga",3.19
10657,Jungle Book, Jungle Book: Shounen Mowgli,TV   ,52,Nippon Animation,,"Adventure, Animal Protagonists, Bears, Family Friendly, Forest, Jungle, Non-Human Protagonists, Orphans, Based on a Novel",3.19
10658,INSHOW-HA: Beam!,,Music,,,,"Action, Fantasy, Military, War",3.19
10659,Happiness!,,TV   ,12,Artland,Fall ,"Harem, Magic, School Life, Based on an Eroge, Based on a Visual Novel",3.19
10660,Croisee in a Foreign Labyrinth Picture Drama, Ikoku Meiro no Croisee Picture Drama,DVD S,,SATELIGHT,,"Shounen, 19th Century, Historical, Picture Drama, Based on a Manga",3.19
10661,Street Fighter Alpha: Generations,,OVA  ,1,A.P.P.P.,,"Action, Hand to Hand Combat, Martial Arts, Supernatural, Based on a Video Game",3.19
10662,Onikiri Musume Saisen,,Web  ,1,,,"Action, Fantasy, Shorts, Swordplay",3.19
10663,Shin Koihime Musou OVA Omake,,DVD S,,,,,3.19
10664,Pinocchio-P: Kaisan Shichatta Band, Pinocchio-P: Disbanded Band,Music,,,,"Music, Vocaloid",3.19
10665,Papuwa,,TV   ,26,Nippon Animation,Fall ,"Comedy, Fantasy, Shounen, Gag, Island, Based on a Manga",3.19
10666,Koshikko,,Web  ,1,,,"Animal Protagonists, Family Friendly, Non-Human Protagonists, Promotional",3.19
10667,Rock'n Roll Bath, Rock'n Roll Sentou,Movie,,,,"Black and White, Shorts",3.18
10668,Pinocchio-P: Fushigi no Kohanasaichi, Pinocchio-P: Wonderous Little Boxes,Music,,,,Vocaloid,3.18
10669,Kyou no Asuka Show,,Web  ,20,SILVER LINK.,Summer,"Comedy, Ecchi, Seinen, Slice of Life, Panty Shots, Short Episodes, Based on a Manga",3.18
10670,Saga of Tanya the Evil Movie: Manner Movie, Youjo Senki Movie: Manner Eizou,Other,,,,Chibi,3.18
10671,Aware! Meisaku-kun: Ito-Yokado no Randsell,,Other,,,,"Comedy, Commercials, Promotional",3.18
10672,Intelligent Jazz: Crystal Sea Ver.69,,Music,,,,"Adventure, Music",3.18
10673,Grenadier Specials, Grenadier: Hohoemi no Senshi Specials,DVD S,,Group TAC,,"Comedy, Ecchi, Shounen, Guns, Western, Based on a Manga",3.18
10674,Oretacha Youkai Ningen G,,TV   ,26,DLE,Spring,"Comedy, Demons, Short Episodes, Supernatural",3.18
10675,Yuyoyuppe: Who am I?,,Music,,,,"Vocaloid, CG Animation",3.18
10676,Pokemon: Pikachu's Great Ice Adventure, Pokemon: Pikachu Koori no Daibouken,Other,,OLM,,"Fantasy, Animal Protagonists, Family Friendly, Monsters, Non-Human Protagonists, Based on a Video Game",3.18
10677,Once Upon A Time, Windaria,Movie,,Kaname Productions,,"Fantasy, Melancholy, Star-Crossed Lovers, War, Original Work",3.18
10678,Samurai Giants,,TV   ,46,TMS Entertainment,,"Sports, Baseball, Based on a Manga",3.18
10679,Junk Town, Garakuta no Machi,OVA  ,1,Studio 4°C,,"Sci Fi, Non-Human Protagonists, Robots, Shorts, Original Work",3.18
10680,Ultra Nyan: Hoshizora Kara Maiorita Fushigi Neko,,Movie,,Triangle Staff,,"Comedy, Aliens, Non-Human Protagonists, Superpowers",3.18
10681,.hack//G.U. Trilogy Parody,,DVD S,,,,"Comedy, MMORPG, RPG, Virtual Reality",3.18
10682,Pokemon Mystery Dungeon: Team Go-Getters Out of the Gate!, Pokemon Fushigi no Dungeon: Shutsudou Pokemon Kyuujotai Ganbaruzu!,TV Sp,,OLM,,"Adventure, Fantasy, Elemental Powers, Family Friendly, Monsters, Person in a Strange World, Based on a Video Game",3.18
10683,The Skull Man, Skull Man,TV   ,13,Bones,Spring,"Action, Mystery, Shounen, Cyborgs, Monsters, Supernatural, Based on a Manga, Violence",3.18
10684,Magic Boy, Shounen Sarutobi Sasuke,Movie,,Toei Animation,,"Action, Adventure, Fantasy, Forest, Magic, Ninja",3.18
10685,Arrow Emblem: Grand Prix no Taka, Super Grand Prix,TV   ,44,Toei Animation,,"Action, Sports, Cars, Racing, Tournaments, Original Work",3.18
10686,OSTER project: POMPADOUR,,Music,,,,Vocaloid,3.18
10687,Yamishibai: Japanese Ghost Stories 6th Season,,TV   ,,ILCA,Summer,"Horror, Episodic, Short Episodes, Supernatural, Urban Legend, Original Work",3.18
10688,Hadakya no Otono-sama,,Web  ,2,The Answer Studio,,"Comedy, Family Friendly, No Dialogue, Short Episodes, CG Animation, Original Work",3.18
10689,Goddess of Light, Hikari no Megami,Web  ,1,SHAFT,,"Action, Promotional, Based on a Video Game",3.18
10690,Age of Obscure: Boubaku Jidai,,Movie,,,,"Abstract, Shorts, Original Work",3.18
10691,"Sky Wizards Academy: Lecty, Animal Caretaker"," Kuusen Madoushi Kouhosei no Kyoukan: Lecty no, Ikimonogatari",OVA  ,1,diomedea,,"Fantasy, Magic, School Life, Based on a Light Novel",3.18
10692,"Right Places: Sono Toki, Boku no Irubeki Basho",,Web  ,1,,,"Shorts, Trains",3.18
10693,Daddy Long Legs (1979), Ashinaga Oji-san (1979),TV Sp,,Tatsunoko Production,,"America, Mysterious Benefactor, Orphans, Based on a Novel",3.18
10694,Gundam vs. Hello Kitty,,Other,,,,"Comedy, Mecha, Sci Fi, Animal Protagonists, Anthropomorphic, Cats, Crossover, Non-Human Protagonists, Outer Space, Parody, Promotional, Real Robot, Short Episodes",3.18
10695,Tofu (2004), Minna no Uta: Tofu,Music,,,,Minna no Uta,3.18
10696,Ofuroya-san e Tsuretette, Minna no Uta: Ofuroya-san e Tsuretette,Music,,,,"Family Friendly, Minna no Uta",3.18
10697,Oto no Symphony, Minna no Uta: Oto no Symphony,Music,,,,Minna no Uta,3.18
10698,Zounds,,Movie,,,,"Music, No Dialogue, Shorts, CG Animation",3.18
10699,96Neko & Kurousa-P: Gegen no Tsuki,,Music,,,,"Fantasy, Animal Characteristics",3.18
10700,Ask Dr. Rin!, Dr. Rin ni Kiitemite!,TV   ,51,Studio Comet,Spring,"Magical Girl, Romance, Shoujo, Henshin Heroes, Magic, School Life, Based on a Manga",3.18
10701,Cute Executive Officer, Youjo Shachou,Web  ,13,Project No.9,Winter,"Comedy, Slice of Life, Short Episodes, Work Life, Based on a Manga",3.18
10702,Tales of Crestoria: The Wake of Sin, Tales of Crestoria: Toga Waga wo Shoite Kare wa Tatsu,TV Sp,,Kamikaze Douga,,"Action, Fantasy, Based on a Mobile Game, CG Animation",3.18
10703,Shugo Chara Party!,,TV   ,25,SATELIGHT,Fall ,"Comedy, Fantasy, Magical Girl, Romance, Shoujo, Family Friendly, Henshin Heroes, Magic, Monster-of-the-week, Based on a Manga",3.18
10704,Kashikokimono,,Movie,,,,"Abstract, Shorts",3.18
10705,Kimba the White Lion, Jungle Taitei,TV   ,52,Mushi Production,,"Shounen, Africa, Animal Protagonists, Cats, Family Friendly, Forest, Jungle, Non-Human Protagonists, Based on a Manga",3.18
10706,Miyakawa-ke no Kuufuku, The Miyakawa Family's Hunger,Web  ,,Encourage Films,Spring,"Comedy, Shounen, Slice of Life, Chibi, Food and Beverage, School Life, Short Episodes, Siblings, Based on a 4-Koma Manga, Based on a Manga",3.18
10707,Angel Tales 2, Tenshi no Shippo Chu!,TV   ,,Tokyo Kids,Spring,"Fantasy, Angels, Non-Human Protagonists, Original Work",3.18
10708,Knight Hunters, Weiss Kreuz,TV   ,25,Magic Bus,Spring,"Action, Drama, Assassins",3.18
10709,rerulili: Kamisama kara no Enquete, rerulili: A Survey from God,Music,,,,"Angels, Vocaloid",3.18
10710,Pokemon: Pikachu's Winter Vacation 2001, Pokemon: Pichu to Pikachu no Fuyuyasumi 2001,OVA  ,3,OLM,,"Fantasy, Family Friendly, Monsters, Based on a Video Game",3.18
10711,Phantasy Star Online 2: Episode Oracle,,TV   ,25,GONZO,Fall ,"Action, Sci Fi, Based on a Video Game, Violence",3.18
10712,Hijikata Toshizou: Shiro no Kiseki,,OVA  ,1,Studio 4°C,,"19th Century, Feudal Japan, Historical, Samurai, Swordplay, Violence",3.18
10713,Maken-ki! Two,,TV   ,10,XEBEC,Winter,"Ecchi, Fantasy, Harem, Shounen, Contemporary Fantasy, Newly Co-ed School, School Life, Superpowers, Urban Fantasy, Based on a Manga, Nudity",3.18
10714,Tanoshii ne, Minna no Uta: Tanoshii ne,Music,,,,"Black and White, Minna no Uta, Original Work",3.18
10715,Yumi-chan no Hikkoshi: Sayonara Tsutomu-kun, Minna no Uta - Yumi-chan no Hikkoshi: Sayonara Tsutomu-kun,Music,,,,"Family Friendly, Minna no Uta",3.18
10716,Drifters: Kokuou-sama Goranshin, Drifters: The Black King Show,DVD S,,Hoods Entertainment,,"Comedy, Parody",3.18
10717,Heavy Metal L-Gaim III: Full Metal Soldier,,OVA  ,1,Sunrise,,,3.18
10718,Oh! My Goddess: The Adventures of Mini-Goddess, Ah! Megami-sama!: Chichaitte Koto wa Benri da ne,TV   ,48,OLM,Spring,"Comedy, Fantasy, Chibi, Gods, Magic, Non-Human Protagonists, Short Episodes, Based on a Manga",3.18
10719,"So, I Can't Play H! Recap", Dakara Boku wa H ga Dekinai Recap,TV Sp,,feel.,,"Action, Comedy, Ecchi, Fantasy, Harem, Recap, Supernatural, Based on a Light Novel, Nudity",3.18
10720,Nobunaga the Fool,,TV   ,24,SATELIGHT,Winter,"Action, Mecha, Sci Fi, Conspiracy, Historical, Original Work",3.18
10721,Livetune: Glare, MIKUxWAHRHEIT LIVE 2019 -glare-,Music,,,,"Dancing, Vocaloid, CG Animation",3.18
10722,Amagami SS+ Picture Drama,,DVD S,,AIC,,"Romance, Picture Drama, School Life, Based on a Visual Novel",3.18
10723,Pokemon: Pikachu's Ghost Carnival, Pokemon: Pikachu no Obake Carnival,TV Sp,,OLM,,"Fantasy, Animal Protagonists, Family Friendly, Monsters, Non-Human Protagonists, Based on a Video Game",3.18
10724,TAMA of the 3rd District: Have You Seen My TAMA?, 3-choume no Tama: Uchi no Tama Shirimasen ka?,TV   ,26,Group TAC,,"Slice of Life, Animal Protagonists, Cats, Dogs, Family Friendly, Non-Human Protagonists, Pets",3.18
10725,Shinshaku Sengoku Eiyuu Densetsu Sanada Juu Yuushi The Animation TV,,TV   ,12,Group TAC,Spring,"Feudal Japan, Historical, Ninja, War",3.18
10726,The Ultraman,,TV   ,50,Sunrise,,"Action, Sci Fi, Shounen, Monster-of-the-week, Monsters, Superheroes, Superpowers, Based on a TV Series",3.18
10727,Lamaze-P: Dere-ka Genshou 100%,,Music,,,,Vocaloid,3.18
10728,91 Days: Brief Candle, 91 Days: Mijikai Rousoku,TV Sp,,Shuka,,"Drama, Animeism, Gangs, Historical, Mafia, Recap, Revenge, Original Work, Explicit Violence,, Sexual Content",3.18
10729,Kaitou Tenshi Twin Angel: Kyun Kyun Tokimeki Paradise!! OVA,,OVA  ,2,J.C.Staff,,"Comedy, Magical Girl, Henshin Heroes, Magic, Based on a Video Game",3.18
10730,Rerulili: Special Girl,,Music,,,,"Dancing, Vocaloid",3.18
10731,Wanpaku Oomukashi Kum Kum,,TV   ,26,Sunrise,,"Comedy, Prehistoric",3.18
10732,Kano: RERE,,Music,,,,,3.18
10733,The New Adventures of Maya the Honeybee, Shin Mitsubachi Maya no Bouken,TV   ,52,Nippon Animation,,"Adventure, Animal Protagonists, Anthropomorphic, Family Friendly, Insects, Non-Human Protagonists, Based on a Novel",3.18
10734,Hachioji-P: Blue Star,,Music,,,,"Vocaloid, CG Animation",3.18
10735,Last Hope, Juushinki Pandora,Web  ,26,SATELIGHT,Spring,"Action, Mecha, Sci Fi, Post-apocalyptic, Transforming Mecha, Original Work, Violence",3.18
10736,Sister Princess,,TV   ,26,Zexcs,Spring,"Comedy, Drama, Harem, Slice of Life, Island, Lifestyle Change, Based on a Light Novel",3.18
10737,OSTER project: On the Rocks,,Music,,,,"Alcohol, Food and Beverage, Vocaloid",3.18
10738,Knight Hunters: Eternity, Weiss Kreuz Gluhen,TV   ,13,ufotable,Fall ,"Action, Drama, Assassins, School Life",3.18
10739,Yowai Robot to 10 no Story Project,,Web  ,2,,,"Slice of Life, Short Episodes",3.18
10740,Smile Down the Runway: Chiyuki's Fashion Check, Runway de Waratte: Chiyuki no Fashion Check,Web  ,9,AQUA ARIS,,"Chibi, Fashion, Short Episodes",3.18
10741,Patta Potta Monta, Going Wild,TV   ,26,Tokyo Kids,Summer,"Comedy, Fantasy, Slice of Life, Animal Protagonists, Anthropomorphic, Family Friendly, Non-Human Protagonists",3.18
10742,X-Men,,TV   ,12,MADHOUSE,Spring,"Action, Marvel Comics, Psychic Powers, Superheroes, Superpowers, Based on a Comic Book",3.18
10743,"Mikasa Dai-senpai to Manabu: Anime ""Azur Lane""",,TV Sp,,Bibury Animation Studios,,"Anthropomorphic, Educational, Military, Ocean, Recap, School Life, Ship, Based on a Mobile Game",3.18
10744,Arigatou (2010), Minna no Uta: Arigatou (2010),Music,,,,"Family Friendly, Minna no Uta",3.18
10745,Chiisai Aki Mitsuketa (1982), Minna no Uta: Chiisai Aki Mitsuketa (1982),Music,,,,"Family Friendly, Minna no Uta",3.18
10746,Pokemon: Pikachu's Great Sparking Search, Pokemon: Pikachu no Kirakira Daisousaku!,Other,,OLM,,"Adventure, Fantasy, Animal Protagonists, Family Friendly, Monsters, Non-Human Protagonists, Based on a Video Game",3.18
10747,TsukiPro the Animation,,TV   ,13,PRA,Fall ,"Slice of Life, Idols, Music, Showbiz",3.18
10748,Wasurerareta Ningyou,,Movie,,,,"Shorts, Stop Motion Animation",3.18
10749,Tama-Pawns,,Web  ,6,Winter 2017,,"Comedy, Fantasy, Anthropomorphic, Chibi, Person in a Strange World, Short Episodes, Work Life",3.18
10750,Nejishiki: Ash-na Milk Tea, Nejishiki: Ash of milk tea,Music,,,,Vocaloid,3.18
10751,PRINTER REC Music,,Web  ,1,,,"Abstract, Shorts",3.18
10752,Mainichi ga Nichiyoubi,,OVA  ,6,Group TAC,,"Comedy, Drama, Seinen, Slice of Life, Police, Based on a Manga",3.18
10753,Of Mice and Clockworks,,Movie,,,,"Animal Protagonists, Family Friendly, No Dialogue, Non-Human Protagonists, Shorts, Stop Motion Animation",3.18
10754,Rays: Moonflowers,,Music,,,,"Aliens, Dancing, Outer Space",3.18
10755,Casshan: Robot Hunter, Casshan: Robot Hunter Casshern,OVA  ,4,Tatsunoko Production,,"Action, Cyborgs, Post-apocalyptic, Robots, Superheroes",3.18
10756,A Centaur's Life, Centaur no Nayami,TV   ,12,Haoliners Animation League,Summer,"Comedy, Ecchi, Fantasy, Seinen, Slice of Life, Animal Characteristics, Centaurs, Contemporary Fantasy, Monster Girls, Monsters, Monster School, Non-Human Protagonists, School Life, Urban Fantasy, Based on a Manga, Nudity",3.18
10757,Tayo the Little Bus, Kkoma Bus Tayo,TV   ,26,,,"Cars, Family Friendly, Korean Animation, Short Episodes, CG Animation",3.18
10758,Ingress the Animation,,Web  ,11,Craftar,Fall ,"Action, Mystery, Sci Fi, Based on a Mobile Game, CG Animation, Violence",3.18
10759,Neru: Shounen Shoujo Chameleon Symptom, Neru: Boy and Girl Chameleon Symptom,Music,,,,Vocaloid,3.18
10760,rerulili: Shimmering ZEN Girl, rerulili: Isshoku Sokuhatsu☆Zen Gaaru,Music,,,,Vocaloid,3.18
10761,Seaweed Buildings, Wakame Buildings,Web  ,1,,,"Abstract, Black and White, No Dialogue, Ocean, Shorts, Original Work",3.18
10762,Aachi wa Ssipak, Aachi and Ssipak,Movie,,,,"Action, Comedy, Guns, Korean Animation, Drug Use,, Mature Themes,, Nudity,, Violence",3.18
10763,Mt. Head, Atama Yama,Movie,,Yamamura Animation,,"Fantasy, Rakugo, Shorts",3.18
10764,Alps Stories: My Annette, Alps Monogatari Watashi no Annette,TV   ,48,Nippon Animation,,"Drama, Slice of Life, Countryside, Europe, Historical, Switzerland, World Masterpiece Theater, Based on a Novel",3.18
10765,Candidate for Goddess OVA, Megami Kouhosei Special Curriculum,OVA  ,1,XEBEC,,"Sci Fi, Outer Space, Based on a Manga",3.18
10766,Ikkitousen: Western Wolves,,OVA  ,3,ARMS,,"Action, Ecchi, Romance of the Three Kingdoms, Based on a Manga, Nudity,, Violence",3.18
